대표운영사,운영사구분,자조합 규모(백만원) 
코오롱인베스트먼트,벤처투자회사,43000
키움인베스트먼트,벤처투자회사,40000
마그나인베스트먼트,벤처투자회사,13000
쿨리지코너인베스트먼트,벤처투자회사,10000
지앤텍벤처투자,벤처투자회사,53000
에이치비인베스트먼트,벤처투자회사,34000
한국벤처투자,벤처투자회사,73959
코오롱인베스트먼트,벤처투자회사,20000
스마일게이트인베스트먼트,벤처투자회사,75000
엘비인베스트먼트,벤처투자회사,81500
프리미어파트너스,LLC,40000
이노폴리스파트너스,LLC,31100
한국벤처투자,벤처투자회사,5000
이수창업투자,벤처투자회사,16000
유티씨인베스트먼트,벤처투자회사,15000
케이런벤처스,LLC,17000
에버그린투자파트너스,LLC,15200
비전에쿼티파트너스,LLC,17000
케이앤투자파트너스,벤처투자회사,5100
제이앤티인베스트먼트,벤처투자회사,10000
에스비아이인베스트먼트,벤처투자회사,70000
보광인베스트먼트,벤처투자회사,20000
티지씨케이파트너스,벤처투자회사,50000
씨케이디창업투자,벤처투자회사,10000
디티앤인베스트먼트,벤처투자회사,11500
플래티넘기술투자,벤처투자회사,11100
미래에셋벤처투자,벤처투자회사,14000
캡스톤파트너스,LLC,32850
대덕벤처파트너스,LLC,18800
어니스트벤처스,LLC,18000
캐피탈원,벤처투자회사,14500
마젤란기술투자,벤처투자회사,15000
알바트로스인베스트먼트,벤처투자회사,15000
아이디벤처스,벤처투자회사,15000
대성창업투자,벤처투자회사,15000
가이아벤처파트너스,LLC,20420
피앤아이인베스트먼트,벤처투자회사,20100
케이앤투자파트너스,벤처투자회사,10000
유티씨인베스트먼트,벤처투자회사,17000
컴퍼니케이파트너스,벤처투자회사,40000
한국투자파트너스,벤처투자회사,100000
미래에셋벤처투자,벤처투자회사,20000
삼호그린인베스트먼트,벤처투자회사,5000
에이티넘인베스트먼트,벤처투자회사,100000
코나벤처파트너스,LLC,16000
데브시스터즈벤처스,벤처투자회사,15000
아이엠엠인베스트먼트,벤처투자회사,25300
트랜스링크인베스트먼트,벤처투자회사,32870
인터베스트,벤처투자회사,51460
비케이인베스트먼트,벤처투자회사,10000
에스제이투자파트너스,벤처투자회사,20000
케이앤투자파트너스,벤처투자회사,10000
포스코기술투자,신기술사,30000
쿨리지코너인베스트먼트,벤처투자회사,12000
에스비아이인베스트먼트,벤처투자회사,15010
유니온투자파트너스,벤처투자회사,26000
미시간벤처캐피탈,벤처투자회사,24000
